hexcode,airline,registration,aircraft,aircraft_thumbnail,latitude,longitude,altitude,distance,first_seen_time
899121,EVA Air,B-16781,777 F,https://hexdb.io/static/aircraft-images/B-16781-thumb.jpg,43.029723,-81.227548,35000,150.1196965147831,Sat May 17 11:08:35 2025
c05eac,Air Canada,C-GJWD,A321 211,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.185928,-80.91865,29250,132.21515191562472,Sat May 17 11:08:36 2025
c044e5,Unknown Airline,Unknown Registration,Unknown Aircraft Type,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.510608,-79.922987,2475,50.62484816553184,Sat May 17 11:11:09 2025
c07793,Skyservice Business Aviation,C-GTHI,Falcon 900DX,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.625685,-79.694105,7150,28.154009086464608,Sat May 17 11:11:10 2025
ab8148,NetJets,N840QS,Citation Longitude,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.602783,-80.166113,40850,122.7302888232571,Sat May 17 11:11:41 2025
abdf3f,United Express,N864RW,EMB-170 SE,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.479874,-79.863115,31000,132.67829174576823,Sat May 17 11:12:42 2025
c03c80,Hamilton Jetport Limited,C-FWXR,G150,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.787931,-80.022689,18450,104.38804125514856,Sat May 17 11:13:13 2025
aa617c,United Express,N768YX,EMB-175 LR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.188812,-81.015547,23100,139.30754597549048,Sat May 17 11:29:40 2025
c03a1e,Delta Air Lines,N542DE,A321 271NXSL,https://hexdb.io/static/aircraft-images/N542DE-thumb.jpg,43.079394,-80.785871,30000,122.76547898355938,Sat May 17 12:06:25 2025
c00926,WestJet,C-FDMB,737NG 8CT/W,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.677933,-79.8448,7150,41.945014597912575,Sat May 17 11:17:20 2025
c00899,Air Canada,C-FDGQ,A320 214,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.727355,-79.521266,2500,13.798628043661951,Sat May 17 11:16:19 2025
c0193b,Air Canada Rouge,C-FJOK,A321 211SL,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.852126,-79.623871,20375,91.89136282182965,Sat May 17 11:25:35 2025
a4380d,Nxt Jet,N371FP,GIV SP,https://hexdb.io/static/aircraft-images/N371FP-thumb.jpg,43.456924,-80.860461,39000,131.41306520282345,Sat May 17 11:17:20 2025
040198,Ethiopian Airlines,ET-AYA,A350 941,https://hexdb.io/static/aircraft-images/ET-AYA-thumb.jpg,43.625061,-79.730785,4450,31.477521472111164,Sat May 17 11:17:52 2025
a6b470,Delta Air Lines,N531DA,A321 271NXSL,https://hexdb.io/static/aircraft-images/N531DA-thumb.jpg,42.667282,-80.137586,32000,116.8496014610198,Sat May 17 11:20:57 2025
aa781f,Kalitta Air,N774CK,777 F,https://hexdb.io/static/aircraft-images/N774CK-thumb.jpg,43.22406,-80.781832,12450,122.50715760169959,Sat May 17 11:17:52 2025
c038c8,Global Jet Leasing LLC,N800NJ,125 800XP,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.641541,-79.725037,4250,30.818943759540154,Sat May 17 11:20:26 2025
c062b8,Air Canada Express,C-GLJZ,CRJ 900,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.926796,-81.733573,30525,176.06301472900736,Sat May 17 11:18:54 2025
ab5c12,Delta Air Lines,N531DA,A321 271NXSL,https://hexdb.io/static/aircraft-images/N531DA-thumb.jpg,42.667282,-80.137586,32000,116.8496014610198,Sat May 17 11:21:30 2025
aae312,Global Jet Leasing LLC,N800NJ,125 800XP,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.773483,-79.852378,26725,102.83964799824416,Sat May 17 11:31:47 2025
c0814b,Unknown Airline,Unknown Registration,Unknown Aircraft Type,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.415085,-79.843395,2500,48.33805391666946,Sat May 17 11:20:26 2025
c029dd,Air Canada,C-FPWE,A320 211,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.597687,-79.763106,6100,34.7830102025704,Sat May 17 11:22:31 2025
a37e80,Delta Connection,N324PQ,CRJ 900 LR NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.178923,-80.357928,15475,93.64487753465994,Sat May 17 11:20:58 2025
a456a9,NetJets,N379QS,Phenom 300,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.445586,-80.184482,41000,136.68182959926773,Sat May 17 11:21:29 2025
c00821,Air Canada,C-FDCA,A320 211,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.725539,-79.589473,1875,19.539269590065423,Sat May 17 19:43:07 2025
a15e70,AeroMexico,N188AM,737MAX 8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.053511,-80.542668,24000,108.53785968667225,Sat May 17 11:34:21 2025
c027de,Air Bravo Corp,C-FPCN,PC-12 45,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.562281,-79.368896,3550,11.936364243136127,Sat May 17 11:28:07 2025
c03c0c,Flightpath Charter Airways,C-FWTF,Phenom 300,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.650513,-79.697507,5000,28.260673620065706,Sat May 17 11:24:34 2025
c07bd4,Air Creebec,C-GUXF,DHC-8 102,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.53663,-80.321568,5500,84.89018099896131,Sat May 17 11:25:35 2025
c07ee4,WestJet,C-GWBJ,737NG 7CT/W,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.867188,-79.648068,22475,90.53178320099087,Sat May 17 11:34:53 2025
c053b4,WestJet,C-GWBJ,737NG 7CT/W,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.5762,-79.745767,5975,33.75096061116241,Sat May 17 11:29:40 2025
c055c1,Air Canada Express,C-GGMI,DHC-8 402 NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.630188,-79.392253,725,4.216009567701077,Sat May 17 11:28:39 2025
a48a83,Delta Air Lines,N392DA,737NG 832/W,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.918882,-81.752734,31000,176.62699144156764,Sat May 17 11:29:40 2025
a1449d,Aviation Advisor Inc,N181CH,Citation CJ4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.939168,-80.325492,40975,93.36489272617794,Sat May 17 11:30:13 2025
c05bd2,Air Canada,C-GIUB,A321 211,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.459259,-80.415834,14925,93.17713428609852,Sat May 17 11:30:44 2025
a6bfe8,United Express,N534GJ,CRJ 700 702,https://hexdb.io/static/aircraft-images/N534GJ-thumb.jpg,42.672481,-81.373752,36000,146.08587542198,Sat May 17 11:41:01 2025
a36b2d,JetBlue Airways,N3194J,A220 300,https://hexdb.io/static/aircraft-images/N3194J-thumb.jpg,43.584346,-81.572767,31250,198.38297919883576,Sat May 17 11:47:10 2025
ad6d03,Southwest Airlines,N964WN,737NG 7H4/W,https://hexdb.io/static/aircraft-images/N964WN-thumb.jpg,42.439087,-79.9148,37000,136.94794101623782,Sat May 17 11:32:18 2025
abbb2c,JetBlue Airways,N3194J,A220 300,https://hexdb.io/static/aircraft-images/N3194J-thumb.jpg,43.533829,-81.291738,29800,171.33816297716047,Sat May 17 11:44:06 2025
a12797,United Airlines,N17362,737MAX 8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.564061,-80.196363,36000,126.34035394090097,Sat May 17 11:34:53 2025
a64924,Delta Air Lines,N504DN,A350 941,https://hexdb.io/static/aircraft-images/N504DN-thumb.jpg,42.999092,-80.571769,30625,111.59664595958199,Sat May 17 11:43:35 2025
a414fb,Delta Air Lines,N362NW,A320 212,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.272597,-80.107834,29000,153.1542273161912,Sat May 17 11:50:14 2025
aa92fc,United Airlines,N78005,777 224ER,https://hexdb.io/static/aircraft-images/N78005-thumb.jpg,43.882507,-80.137663,31925,74.38551872791359,Sat May 17 11:41:01 2025
a373da,Delta Air Lines,N321US,A320 211,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.629471,-80.189584,34000,120.74777364573774,Sat May 17 16:51:04 2025
c05ef7,American Eagle,N750BD,EMB-170 SE,https://hexdb.io/static/aircraft-images/N750BD-thumb.jpg,43.527367,-79.816328,7475,41.22127409697351,Sat May 17 11:44:06 2025
a369ee,American Airlines,N319TE,737MAX 8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.314285,-79.359741,11775,39.43950537477328,Sat May 17 11:41:01 2025
ab1c04,American Airlines,N815AW,A319 132,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.441513,-80.218485,35000,137.10287246002116,Sat May 17 18:08:38 2025
adbef0,American Airlines,N985NN,737NG 823/W,https://hexdb.io/static/aircraft-images/N985NN-thumb.jpg,43.233017,-80.835506,20425,126.5458331839547,Sat May 17 11:41:01 2025
aa1a26,American Eagle,N750BD,EMB-170 SE,https://hexdb.io/static/aircraft-images/N750BD-thumb.jpg,43.168123,-81.112911,29250,145.96912853707664,Sat May 17 11:59:42 2025
a6dfe7,Air Charter Express,N542FR,2000,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.07432,-81.134622,31000,145.26988508153278,Sat May 17 11:43:35 2025
a7d725,Delta Connection,N604LR,CRJ 900 NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.246765,-80.767013,19000,121.49021071092807,Sat May 17 11:44:06 2025
ab59f4,Delta Connection,N830SK,CRJ 900 LR NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.519464,-80.004741,19075,129.1738979532207,Sat May 17 11:46:08 2025
c07c7a,Air Canada,C-GVDP,A220 300,https://hexdb.io/static/aircraft-images/C-GVDP-thumb.jpg,42.946381,-80.910219,29125,130.2785665994619,Sat May 17 12:01:45 2025
a3e383,Unknown Airline,Unknown Registration,Unknown Aircraft Type,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.908082,-79.757865,23000,87.86272961313452,Sat May 17 11:47:10 2025
c04738,Prime Air,C-GAZF,767 338ERBDSF/W,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.559255,-80.899527,18125,136.8071035978152,Sat May 17 11:48:11 2025
a519b8,Delta Air Lines,N428DX,A330 941N,https://hexdb.io/static/aircraft-images/N428DX-thumb.jpg,42.822147,-80.707463,26150,122.6578788784678,Sat May 17 11:59:42 2025
c0635f,Delta Air Lines,N428DX,A330 941N,https://hexdb.io/static/aircraft-images/N428DX-thumb.jpg,43.560654,-79.508057,37675,15.957362363471914,Sat May 17 11:50:14 2025
c07b09,Air Canada,C-GUPK,A220 300,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.887553,-81.942967,35000,185.05280284106684,Sat May 17 11:51:22 2025
a53ee2,United Airlines,N437UA,A320 232,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.384064,-80.979476,29000,140.63514644941745,Sat May 17 11:51:53 2025
a227e5,Pacific Intl Vegetable Marketing Inc,N238TD,Citation CJ4,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.823951,-80.295933,45000,86.81798141401967,Sat May 17 11:56:34 2025
ab538b,Delta Air Lines,N829NW,A330 302,https://hexdb.io/static/aircraft-images/N829NW-thumb.jpg,43.003326,-80.566577,27775,111.20598453515322,Sat May 17 11:59:42 2025
c01e11,Flair Airlines,C-FLKA,737MAX 8,https://hexdb.io/static/aircraft-images/C-FLKA-thumb.jpg,43.361481,-80.374699,5075,90.59167148755041,Sat May 17 19:19:39 2025
c05edb,Air Canada,C-GJXY,A220 300,https://hexdb.io/static/aircraft-images/C-GJXY-thumb.jpg,43.304381,-80.645338,20800,112.26452601349823,Sat May 17 11:52:27 2025
0c4183,Arajet,HI1027,737MAX 8,https://hexdb.io/static/aircraft-images/HI1027-thumb.jpg,42.897491,-79.885233,20350,91.47472758154201,Sat May 17 12:03:18 2025
c03a5a,WestJet,C-FWCN,737NG 7CT/W,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.926377,-81.734488,23000,176.08764613615838,Sat May 17 20:45:50 2025
ac148f,FedEx Express,N878FD,777 F,https://hexdb.io/static/aircraft-images/N878FD-thumb.jpg,43.936002,-80.173841,39000,79.79096079958157,Sat May 17 11:56:33 2025
c05ee5,Air Canada,C-GJYI,A220 300,https://hexdb.io/static/aircraft-images/C-GJYI-thumb.jpg,43.446716,-82.250487,38000,252.05208857395115,Sat May 17 20:28:26 2025
c017ed,Air Canada Express,C-FJBO,EMB-175 SU,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.483282,-81.800603,33725,214.58068243646164,Sat May 17 17:19:13 2025
a6dfaa,Delta Air Lines,N542DE,A321 271NXSL,https://hexdb.io/static/aircraft-images/N542DE-thumb.jpg,43.101883,-81.317543,30025,158.4876461167163,Sat May 17 12:10:59 2025
c060b1,Porter Airlines,C-GKQA,DHC-8 402 NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.834946,-79.365554,13525,18.71463605283059,Sat May 17 21:12:01 2025
c06175,Philippine Airlines,RP-C3501,A350 941,https://hexdb.io/static/aircraft-images/RP-C3501-thumb.jpg,43.914495,-79.611577,41000,34.43297782418085,Sat May 17 22:10:35 2025
a99087,Thrive Aviation,N715VM,GVII-G600,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.001978,-80.625458,20350,114.37728478967509,Sat May 17 12:06:25 2025
ab2115,NetJets,N816QS,Citation Longitude,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.371414,-79.398768,11525,33.00454493805456,Sat May 17 12:01:45 2025
c02dcf,Air Canada Express,C-FRJA,CRJ 900 LR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.934244,-80.964857,28650,133.15285241526172,Sat May 17 19:04:17 2025
a9bf4b,Delta Air Lines,N727TW,757 231/W,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.267731,-81.236487,36000,158.13232575875205,Sat May 17 12:16:28 2025
aa8075,American Eagle,N776MS,EMB-170 SE,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.076385,-81.299147,30000,156.31497161528043,Sat May 17 12:19:31 2025
c06ce2,Execaire Inc,C-GPGB,Challenger 300,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.358734,-79.389954,12150,34.40837506189006,Sat May 17 12:06:24 2025
899123,EVA Air,B-16782,777 F,https://hexdb.io/static/aircraft-images/B-16782-thumb.jpg,43.731079,-79.515913,2625,13.57710320288997,Sat May 17 12:06:25 2025
c040c5,Air Canada Rouge,C-FYNS,A319 114,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.571045,-79.770707,6500,36.043410690568855,Sat May 17 20:52:30 2025
040088,Ethiopian Airlines,ET-ARF,787 8,https://hexdb.io/static/aircraft-images/ET-ARF-thumb.jpg,42.922979,-81.82591,34975,181.21024225544906,Sat May 17 12:09:01 2025
c02e8f,Air Canada Express,C-FRQK,EMB-175 SU,https://hexdb.io/static/aircraft-images/C-FRQK-thumb.jpg,43.684662,-79.889576,8750,46.153065474075945,Sat May 17 18:38:58 2025
c04adc,Cargojet Airways,C-GCJB,757 2G5PCF/W,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.153552,-80.021406,6250,75.35793505643325,Sat May 17 12:09:36 2025
780204,Cathay Pacific Airways,B-KPD,777 367ER,https://hexdb.io/static/aircraft-images/B-KPD-thumb.jpg,42.340331,-79.903628,37000,147.1177554999921,Sat May 17 12:09:36 2025
ace965,American Eagle,N931AE,ERJ-145 LR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.60512,-80.123163,33000,122.07393046141996,Sat May 17 12:10:58 2025
c066dd,Air Canada,C-GMYU,A220 300,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.680908,-79.86243,7950,43.60333496046746,Sat May 17 12:12:35 2025
c07c7b,Air Canada,C-GVDQ,A220 300,https://hexdb.io/static/aircraft-images/C-GVDQ-thumb.jpg,43.682246,-79.849418,7550,42.41517074700645,Sat May 17 21:41:27 2025
c02153,Unknown Airline,Unknown Registration,Unknown Aircraft Type,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.248146,-80.158343,2600,78.06220583745038,Sat May 17 12:12:03 2025
c010e4,Air Canada Express,C-GJAN,CRJ 900 LR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.027116,-80.540902,30500,109.16093844197829,Sat May 17 20:52:30 2025
c055d6,Delta Connection,N910XJ,CRJ 900 LR NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.81926,-79.469474,30000,94.52949838571165,Sat May 17 18:19:54 2025
c08866,Porter Airlines,C-GZQZ,EMB-195 E2,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.731171,-79.515849,2625,13.577403832004336,Sat May 17 12:19:31 2025
ab398a,Delta Air Lines,N822NW,A330 302,https://hexdb.io/static/aircraft-images/N822NW-thumb.jpg,43.436371,-79.74752,37275,40.4518354005021,Sat May 17 12:23:26 2025
c053f6,Air Canada,C-GFUR,A330 343X,https://hexdb.io/static/aircraft-images/C-GFUR-thumb.jpg,43.570288,-79.754987,5675,34.70870072225712,Sat May 17 17:07:22 2025
c02e9b,Air Canada Express,C-FRQW,EMB-175 SU,https://hexdb.io/static/aircraft-images/C-FRQW-thumb.jpg,42.873001,-79.613257,19075,89.54224154194436,Sat May 17 21:30:59 2025
a4fddb,American Eagle,N420YX,EMB-175 LR,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.603154,-79.756492,6025,34.09798325652308,Sat May 17 16:33:28 2025
c0405a,United Airlines,N77578,737MAX 9,https://hexdb.io/static/aircraft-images/N77578-thumb.jpg,42.290909,-79.88696,28025,152.3153694089752,Sat May 17 21:17:40 2025
ad3d84,NetJets,N952QS,Citation Latitude,https://hexdb.io/static/aircraft-images/N952QS-thumb.jpg,42.605958,-79.969993,41000,120.56803271183284,Sat May 17 12:23:24 2025
c05ed8,Air Canada,C-GJXV,A220 300,https://hexdb.io/static/aircraft-images/C-GJXV-thumb.jpg,43.336121,-79.375774,14425,36.945955427838356,Sun May 18 06:53:52 2025
c0404f,Sunwing Airlines,C-GMXH,737MAX 8,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.790741,-79.883527,22575,101.62059081583999,Sat May 17 18:25:06 2025
c01fd9,Kivalliq Air Ninavut Lifeline,C-FMBO,PC-24,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.72522,-79.590007,1950,19.573941576229636,Sat May 17 12:23:26 2025
a013e8,Delta Air Lines,N104DN,A321 211SL,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.277023,-82.021626,34000,221.46068075481696,Sat May 17 16:47:27 2025
c00b80,Delta Air Lines,N104DN,A321 211SL,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.892548,-80.392392,34025,107.67348298415747,Sat May 17 16:35:39 2025
a4324f,Corporate,N37JW,208 B EX,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,43.591097,-79.349801,2675,9.347083362484723,Sat May 17 16:33:30 2025
a7dec2,American Eagle,N606NN,CRJ 900 LR NG,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Plane_icon_nose_up.svg/248px-Plane_icon_nose_up.svg.png,42.775408,-79.944444,23875,104.08873747505625,Sat May 17 16:39:44 2025
